site,season,date_sentinel,cloud_percent
villa_baviera,2020_2021,05-09-2020,100
villa_baviera,2020_2021,10-09-2020,100
villa_baviera,2020_2021,15-09-2020,100
villa_baviera,2020_2021,20-09-2020,0
villa_baviera,2020_2021,25-09-2020,100
villa_baviera,2020_2021,30-09-2020,0
villa_baviera,2020_2021,05-10-2020,0
villa_baviera,2020_2021,10-10-2020,0
villa_baviera,2020_2021,15-10-2020,0
villa_baviera,2020_2021,20-10-2020,0
villa_baviera,2020_2021,25-10-2020,100
villa_baviera,2020_2021,30-10-2020,0
villa_baviera,2020_2021,04-11-2020,
villa_baviera,2020_2021,09-11-2020,0
villa_baviera,2020_2021,14-11-2020,0
villa_baviera,2020_2021,19-11-2020,50
villa_baviera,2020_2021,24-11-2020,0
villa_baviera,2020_2021,29-11-2020,0
villa_baviera,2020_2021,04-12-2020,0
villa_baviera,2020_2021,09-12-2020,0
villa_baviera,2020_2021,14-12-2020,
villa_baviera,2020_2021,19-12-2020,100
villa_baviera,2020_2021,24-12-2020,0
villa_baviera,2020_2021,29-12-2020,0
villa_baviera,2020_2021,03-01-2021,0
villa_baviera,2020_2021,08-01-2021,0
villa_baviera,2020_2021,13-01-2021,0
villa_baviera,2020_2021,18-01-2021,0
hidango,2021_2022,23-05-2021,0
hidango,2021_2022,28-05-2021,100
hidango,2021_2022,02-06-2021,0
hidango,2021_2022,07-06-2021,0
hidango,2021_2022,12-06-2021,0
hidango,2021_2022,17-06-2021,0
hidango,2021_2022,22-06-2021,100
hidango,2021_2022,27-06-2021,
hidango,2021_2022,02-07-2021,0
hidango,2021_2022,07-07-2021,50
hidango,2021_2022,12-07-2021,50
hidango,2021_2022,17-07-2021,0
hidango,2021_2022,22-07-2021,100
hidango,2021_2022,27-07-2021,0
hidango,2021_2022,01-08-2021,0
hidango,2021_2022,06-08-2021,100
hidango,2021_2022,11-08-2021,0
hidango,2021_2022,16-08-2021,100
hidango,2021_2022,21-08-2021,100
hidango,2021_2022,26-08-2021,0
hidango,2021_2022,31-08-2021,0
hidango,2021_2022,05-09-2021,0
hidango,2021_2022,10-09-2021,100
hidango,2021_2022,15-09-2021,0
hidango,2021_2022,20-09-2021,0
hidango,2021_2022,25-09-2021,100
hidango,2021_2022,30-09-2021,100
hidango,2021_2022,05-10-2021,0
hidango,2021_2022,10-10-2021,0
hidango,2021_2022,15-10-2021,0
hidango,2021_2022,20-10-2021,100
hidango,2021_2022,25-10-2021,0
hidango,2021_2022,30-10-2021,0
hidango,2021_2022,04-11-2021,0
hidango,2021_2022,09-11-2021,100
hidango,2021_2022,14-11-2021,0
hidango,2021_2022,19-11-2021,100
hidango,2021_2022,24-11-2021,100
hidango,2021_2022,29-11-2021,0
hidango,2021_2022,04-12-2021,0
hidango,2021_2022,09-12-2021,100
hidango,2021_2022,14-12-2021,0
hidango,2021_2022,19-12-2021,0
hidango,2021_2022,24-12-2021,0
hidango,2021_2022,29-12-2021,100
hidango,2021_2022,03-01-2022,0
la_cancha,2022_2023,02-06-2022,0
la_cancha,2022_2023,07-06-2022,20
la_cancha,2022_2023,12-06-2022,100
la_cancha,2022_2023,17-06-2022,100
la_cancha,2022_2023,22-06-2022,100
la_cancha,2022_2023,27-06-2022,0
la_cancha,2022_2023,02-07-2022,0
la_cancha,2022_2023,07-07-2022,0
la_cancha,2022_2023,12-07-2022,0
la_cancha,2022_2023,17-07-2022,0
la_cancha,2022_2023,22-07-2022,0
la_cancha,2022_2023,27-07-2022,100
la_cancha,2022_2023,01-08-2022,100
la_cancha,2022_2023,06-08-2022,100
la_cancha,2022_2023,11-08-2022,100
la_cancha,2022_2023,16-08-2022,100
la_cancha,2022_2023,21-08-2022,0
la_cancha,2022_2023,26-08-2022,100
la_cancha,2022_2023,31-08-2022,100
la_cancha,2022_2023,05-09-2022,0
la_cancha,2022_2023,10-09-2022,0
la_cancha,2022_2023,15-09-2022,100
la_cancha,2022_2023,20-09-2022,50
la_cancha,2022_2023,25-09-2022,100
la_cancha,2022_2023,30-09-2022,100
la_cancha,2022_2023,05-10-2022,100
la_cancha,2022_2023,10-10-2022,20
la_cancha,2022_2023,15-10-2022,0
la_cancha,2022_2023,20-10-2022,0
la_cancha,2022_2023,25-10-2022,100
la_cancha,2022_2023,30-10-2022,0
la_cancha,2022_2023,04-11-2022,100
la_cancha,2022_2023,09-11-2022,100
la_cancha,2022_2023,14-11-2022,0
la_cancha,2022_2023,19-11-2022,0
la_cancha,2022_2023,24-11-2022,100
la_cancha,2022_2023,29-11-2022,100
la_cancha,2022_2023,04-12-2022,0
la_cancha,2022_2023,09-12-2022,0
la_cancha,2022_2023,14-12-2022,0
la_cancha,2022_2023,19-12-2022,0
la_cancha,2022_2023,24-12-2022,0
la_cancha,2022_2023,29-12-2022,0
hidango,2022_2023,28-05-2022,20
hidango,2022_2023,02-06-2022,0
hidango,2022_2023,07-06-2022,20
hidango,2022_2023,12-06-2022,100
hidango,2022_2023,17-06-2022,100
hidango,2022_2023,22-06-2022,100
hidango,2022_2023,27-06-2022,0
hidango,2022_2023,02-07-2022,0
hidango,2022_2023,07-07-2022,0
hidango,2022_2023,12-07-2022,0
hidango,2022_2023,17-07-2022,100
hidango,2022_2023,22-07-2022,0
hidango,2022_2023,27-07-2022,0
hidango,2022_2023,01-08-2022,100
hidango,2022_2023,06-08-2022,100
hidango,2022_2023,11-08-2022,0
hidango,2022_2023,16-08-2022,100
hidango,2022_2023,21-08-2022,0
hidango,2022_2023,26-08-2022,100
hidango,2022_2023,31-08-2022,100
hidango,2022_2023,05-09-2022,0
hidango,2022_2023,10-09-2022,0
hidango,2022_2023,15-09-2022,50
hidango,2022_2023,20-09-2022,100
hidango,2022_2023,25-09-2022,100
hidango,2022_2023,30-09-2022,100
hidango,2022_2023,05-10-2022,20
hidango,2022_2023,10-10-2022,100
hidango,2022_2023,15-10-2022,0
hidango,2022_2023,20-10-2022,0
hidango,2022_2023,25-10-2022,100
hidango,2022_2023,30-10-2022,0
hidango,2022_2023,04-11-2022,100
hidango,2022_2023,09-11-2022,100
hidango,2022_2023,14-11-2022,0
hidango,2022_2023,19-11-2022,0
hidango,2022_2023,24-11-2022,100
hidango,2022_2023,29-11-2022,100
hidango,2022_2023,04-12-2022,0
hidango,2022_2023,09-12-2022,0
hidango,2022_2023,14-12-2022,0
hidango,2022_2023,19-12-2022,0
hidango,2022_2023,24-12-2022,0
hidango,2022_2023,29-12-2022,0
hidango,2022_2023,03-01-2023,0
